city,borough,title,foundry,fabricator,primary_architect_first,landscape_architect_last,artwork_type1,location_name,landscape_architect_middle,lot,date_created_approximation,primary_artist_first,date_dedicated,date_dedicated_approximation,secondary_artist_first,inscription,pdc_records,secondary_artist_last,material,subject_keyword,primary_architect_middle,date_created,landscape_architect_first,primary_artist_last,block,secondary_architect_last,address,secondary_architect_middle,artwork_type2,alternate_title,secondary_architect_first,latitude,state
New York,Manhattan,Subway Map Floating on a New York Sidewalk,,,,,Installation,110 Greene Street,,7.0,N,Francoise,1985,N,,"""SUBWAY MAP FLOATING ON A N.Y.C. SIDEWALK"" / 
ARTIST FRANCOISE SCHEIN/SPONSOR GOLDMAN PROPERTIES /
THIS PROJECT INSPIRED THE ARTIST TO REINVENT /
FIVE SUBWAY STATIONS ARTICULATING THE MESSAGE /
OF ""THE UNIVERSAL DECLARATION OF HUMAN RIGHTS"" /
PARIS-BRUSSELS-LIBSON-STOCKHOLM-BERLIN",4730,,"Stainless steel bars, terrazzo flooring, glass","Abstract, Transportation, Sidewalk",,1985,,Schein,499,,110 Greene Street,,Artwork,,,"4"" BORE",NY
Brooklyn,Brooklyn,Fort Hamilton D.A.R. Tablet,Paul E. Cabaret & Co.,,,,Plaque,John Paul Jones Park,,1.0,N,,1916,N,,TO COMMEMORATE / THE FIRST RESITANCE / MADE TO BRITISH ARMS / IN NEW YORK STATE / AUGUST 1776 / ERECTED BY THE / LONG ISLAND SOCIETY / DAUGHTERS OF THE REVOLUTION / A.D. 1916,907,,"Bronze, natural boulder","American Revolutionary War, Colonial, War",,1916,,,6140,,4th Avenue and 101st Street,,Marker,,,40.611583,NY
New York,Manhattan,Eagles,,,,,Statue,Central Park Zoo,,1.0,N,,1941,N,,,,,Granite,"Animals, eagle",,1941,,,1111,,Central Park Zoo,,Artwork,,,40.767737,NY
Staten Island,Staten Island,Schmul Memorial,,,Aymar,,Plaque,Schmul Park,,120.0,N,,1938,N,,SCHMUL PARK / LOUIS AND HERMINE SCHMUL / PRESENTED THIS PROPERTY TO THE / CITY OF NEW YORK / IN MEMORY OF / HEIMAN AND ROSA SCHMUL / 1938 /,2192,,"Bronze, boulder",Philanthropist,,1938,,,2665,,Pearson Street and Wild Avenue,,Monument/Memorial,,,40.590571,NY
New York,Manhattan,Francis Makemie,Duncan Long Inc.,,,,"Plaque, plinth",Bowling Green Park,,28.0,N,,1982,N,,"FRANCIS MAKEMIE / NEAR THIS SITE IN 1707, FRANCIS MAKEMIE, / A NATIVE OF IRELAND AND FATHER OF AMERICAN PRESBYTERIANISM, / CHALLENGED THE EDICT OF LORD CORNBURY, GOVERNOR OF THE / COLONY, FORBIDDING HIM FROM PREACHING HERE. THE SERVICES / HE CONDUCTED IN WILLIAM JACKSON'S HOME RESULTED IN HIS / BEING INDICTED FOR PREACHING A ""PERNICIOUS DOCTRINE."" / HIS SPIRITED COURT APPEARANCE RESULTED IN HIS ACQUITTAL. / IT WAS THE FIRST GREAT VICTORY HERE FOR / RELIGIOUS LIBERTY. / JULY 27, 1982 / IRISH INSTITUTE OF NEW YORK /",,,"Bronze, granite","Irish, Religious Leader",,1982,,,12,,Broadway and Beaver Street,,Marker,,,40.705162,NY
Bronx,Bronx,"Victory, Peace and Love of County",,,,,Sculpture,Bronx County Courthouse,,1.0,N,Joseph,1934,N,,,1619,,Marble,"Allegorical, History, Law, Government",,1932,,Kiselewski,2468,,851 Grand Concourse,,Artwork,,,40.826361,NY
Flushing,Queens,Garden of Meditation,,,,,Plinth,Flushing Meadows  Corona Park,,1.0,,,,,,GARDEN / OF MEDITATION / GOD ALMIGHTY FIRST / PLANTED A GARDEN / AND INDEED IT IS THE PUREST OF / HUMAN PLEASURES. IT IS THE / GREATEST REFRESHMENT / TO THE SPIRITS OF MAN. / FRANCIS BACON /,,,Marble,1964-65 World's Fair,,,,,2018,,Meridian Road and Avenue of Africa,,Marker,,,40.744210,NY
Flushing,Queens,Alfred J. Kennedy Memorial Flagstaff,,General Bronze Corporation,,,"Flagstaff base, plaque",Flushing Park Center Plots,,125.0,N,,1950,N,,"Side one: * A TRIBUTE TO * / 1898 1902 / DEDICATED AND ERECTED TO THE MEMORY OF/ HON. ALFRED J. KENNEDY/ COMMANDER IN CHIEF/ UNITED SPANISH WAR VETERANS/ 1937 1938/ COMPANY F 22ND REG'T N.Y. VOL. INF. / CITIZEN / LEGISLATOR / STATESMAN / SOLDIER/ ANSWERED LAST ROLL CALL JULY 25, 1944 Side two: * THE MEN WHO * / WE HONOR THOSE / WHO DIED FOR / THEIR COUNTRY Side three: * SERVED IN THE * / ""REMEMBER THE MAINE"" / FREEDOM / PATRIOTISM / HUMANITY Side four:
* WAR WITH SPAIN * / HONOR TO WHOM / HONOR IS DUE / DEDICATED JULY 23, 1950 /",2775,,"Deer Isle Granite, bronze","Spanish-American War, War, Veterans",,1950,,,4977,,Northern Boulevard and Main Street,,Monument/Memorial,,,40.763053,NY
New York,Manhattan,Sir Walter Scott,MacDonald Field Co.,,,,Statue,Central Park,,1.0,N,Sir John,1872,N,,"(Front of base:) WALTER SCOTT / JOHN STEELL R.S.A. / EDINBURGH. SCULP

(Rear of base:) MACDONALD FIELD & CO / GRANITE WORKS ABERDEEN SCOT / PRESENTED TO CITY OF NEW YORK / BY RESIDENT SCOTSMEN AND THEIR SONS / ON THE 15TH AUGUST 1871 / THE 100TH ANNIVERSARY OF THE BIRTH OF / SIR WALTER SCOTT. BARONET. Signed.",3911,,"Bronze, Aberdeen granite","Author, Poet, Scottish",,1872,,Steell,1111,,The Mall,,Monument/Memorial,,,40.770167,NY
New York,Manhattan,Gertrude Stein,,,,,Statue,Bryant Park,,2.0,N,Jo,1992,N,,"Front of base: GERTRUDE STEIN / 1874-1976 / BY JO DAVIDSON, 1923 / BRONZE CAST 1991 -- Rear of base: GIFT OF / DR. MAURY LEIBOVITZ / TO THE / CITY OF NEW YORK / 1992",1843,,"Bronze, granite","Author, Jewish, Woman, LGBTQ+",,1991,,Davidson,1257,,West 40th Street between 5th Avenue and 6th Avenue,,Monument/Memorial,,,40.753349,NY
New York,Manhattan,El Arbol de Esperanza,,,,,Sculpture,Thomas Jefferson Park,,1.0,N,L.,1995,N,,,1765,,"Stainless steel, brass, bronze","Tree, Nature",,1995,,Hatcher,1705,,,,Artwork,,,40.793050,NY
New York,Manhattan,Horace Greeley,Henry Bonnard Bronze Co.,,,,Statue,Greeley Square,,1.0,N,Alexander,1894,N,,THIS STATUE OF THE FIRST PRESIDENT / NEW YORK TYPOGRAPHICAL UNION NO. 6 / WAS PRESENTED TO THE CITY OF NEW YORK BY / HORACE GREELY POST NO. 577 G.A.R. / NEW YORK TYPOGRAPHICAL UNION NO.6 AND / BROOKLYN TYPOGRAPHICAL UNION NO. 98 / GIVEN TO THE CITY OF NEW YORK IN 1890,382,,"Bronze, granite","Journalist, Publisher",,1892,,Doyle,834,,32nd Street and Broadway,,Monument/Memorial,,,40.748582,NY
New York,Manhattan,Chimpanzee,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Frederick,1935,N,,Signed: F.G.R. ROTH,,,Indiana limestone,"Animals, WPA",,1935,,Roth,1111,,Central Park Zoo,,Artwork,,,40.767972,NY
Woodside,Queens,Woodside Doughboy,,,C.N.,,Statue,Doughboy Plaza,,1.0,N,Burt,1923,N,,LEST WE FORGET / 1917-1918,1111,,"Bronze, granite","World War I, War, Doughboy",,1923,,Johnson,1239,,"Woodside Avenue, Roosevelt Avenue, 39th Road and 52nd Street",,Monument/Memorial,,,40.746266,NY
New York,Manhattan,Fred Lebow,,,,,Statue,Central Park,,1.0,N,Jesus,1994,N,,,,,Bronze,"Athlete, sports, athletics, runner, marathon",,1994,,Dominguez,1111,,90th Street and East Drive,,Monument/Memorial,Forever at the Finish Line,,40.784082,NY
Staten Island,Staten Island,Carmine Liotti and Lloyd Ikefugi,,,,,Plaque,Liotti-Ikefugi Playground,,6.0,N,,1962,N,,"DEDICATED TO / THE MEMORY OF / CARMINE LIOTTI / BORN DEC. 13, 1924 / KILLED IN ACTION APRIL 15, 1945 / LLOYD IKEFUGI / BORN SEPT. 16, 1923 / KILLED IN ACTION APRIL 25, 1945 / CARMINE GRANITO / WILLIAM SMITH / POST NO. 1296",3464,,Bronze,"Veteran, World War II, War",,1962,,,37,,Winter Avenue and Bismark Avenue,,Monument/Memorial,,,40.638834,NY
Staten Island,Staten Island,Robert Richard Randall,"Beaureau Brothers, Philadelphia (original) Johnson Atelier, Princeton, NJ (replica)",,,,Statue,Snug Harbor Cultural Center,,1.0,N,Augustus,1884,N,,"Base: ROBERT RICHARD / RANDALL / DIED-1801 / 

Signature on base: AVGVSTVS SAINT / GAUDENS SCVLPTOR / NEW-YORK MDCCCLXXXVIII / BEAUREAU BROTHERS FOUNDERS /

Plaque: ROBERT RICHARD RANDALL / --- / THIS BRONZE STATUE, CAST IN 1983, FROM THE ORIGINAL (1883) BY / AUGUSTUS SAINT-GAUDENS, REPRESENTS ROBERT RICHARD RANDALL / (1750-1801) BENEFACTOR OF SAILORS SNUG HARBOR. THE ORIGINAL IS NOW IN SEA LEVEL, NORTH CAROLINA. / --- / THIS REPLICA IS MADE POSSIBLE BY GENEROUS CONTRIBUTIONS FROM / MANY FRIENDS OF SNUG HARBOR TO COMMEMORATE THE 150TH  / ANNIVERSARY OF THE ARRIVAL OF THE FIRST SEAMEN TO MAKE THEIR / HOME HERE. SNUG HARBOR RECOGNIZES THE FOLLOWING FOR THEIR / SPECIAL GIFTS FOR THE RANDALL STATUE FUND: / --- / MR. & MRS. JACK FRIEDLAND / --- / PEAT MARWICK MITCHELL N.Y. FOUNDATION / --- / MR. & MRS. ALLAN PROSKE / --- / THE STANLEY TIMOLAT FOUNDATION / --- / MRS. PETER J. TIMPONE JR. /",4191,,"Bronze, granite","Maritime, Philanthropist",,1884,,Saint-Gaudens,76,,Richmond Terrace and Snug Harbor Road,,Monument/Memorial,,,40.644869,NY
New York,Manhattan,John Wolfe Ambrose,Aegis Restauro,,Aymar,,"Bust, stele",Battery Park,,1.0,Y,Andrew,1936; 2018,N,Frederick,"Stele (top): 1838 --- 1899 / 

Stele (left): DEDICATED BY / THE CITY OF / NEW YORK TO / JOHN WOLFE AMBROSE / FOR WHOM THE / DEEP SEA / CHANNEL  / IS NAMED / 

Stele (right): HIS VISION, / SCIEN- / TIFIC KNOWLEDGE / AND INDEFATIGABLE / COURAGE AIDED IN / MAKING NEW YORK / THE GREATEST / SEA PORT OF / THE WORLD / 

Stele (bottom): map of Lower New York Bay showing Ambrose Channel",1109,Roth,"Bronze, granite","Irish, Maritime, Bust, Engineer,",,1899,,"O'Connor, Jr.",3,,State Street between Pearl Street and Water Street,,Monument/Memorial,,,40.702540,NY
New York,Manhattan,General Daniel Butterfield,,,,,Statue,Sakura Park,,1.0,N,Gutzon,1918,N,,GUTZON BORGLUM / SCULPTOR 1917 / BUTTERFIELD / 1831-1901,916,,"Bronze, granite","Military, American Civil War, War, Businessman",,1917,,Borglum,1994,,Riverside Drive and 122nd Street,,Monument/Memorial,,,40.812695,NY
New York,Manhattan,Sundial,,,Aymar,,Sundial,Roger Morris Park,,106.0,N,,1935,N,,,,,"Bronze, granite",Sundial,,1935,,,2109,,Edgecombe Avenue and West 162nd Street,,Artwork,,,40.834722,NY
New York,Manhattan,City Hall Park Fountain,,,Jacob,,Fountain,City Hall Park,,1.0,Y,,1871; 1999,N,,,1011,,"Granite, bronze",Fountain,Wrey,1871,,,122,,43 Park Row,,Artwork/Monument,,,40.712163,NY
Brooklyn,Brooklyn,Liberty Avenue War Memorial,,,,,"Stele, plaque",Public Place,,26.0,N,,1947,N,,"Plaque: WORLD WAR II / AN EVERLASTING TRIBUTE / TO / BOWEN, FRANCIS N. --- LASALLE, WALTER F. / BYRNES, JOHN P. --- LYNCH, REV. LAWRENCE E. / CATALANO, EDWARD J. --- MAITEN, MEYER L. / CATALANO, VINCENT C. --- MANISCALCO, AUGUST / CLARK, MATTHEW J. --- MAZZIE, PATRICK J./ DE BLASIO, JOHN J. --- MCKINLEY, DAVID S. / DEVANEY, WILLIAM P. JR. --- MULCARE, ARTHUR V. / DIMINO, ALPHONSO --- PFOHLMAN, THOMAS G. / DUNNE, ELLSWORTH F. --- POLO, ALBERT J. / GLASSEN, JOSEPH A. --- RANDAZZO, JOHN J. / GROVE, KENNETH --- SOCHA, JOHN L. / INNUSE, MARON J. --- VALENTI, JAMES V. / JONES, ARTHUR J. --- VOLDO, ANGELO M. / KAHRS, WALTER J. JR. --- VIZZI, CHARLES / WHO SO GLORIOUSLY GAVE / THEIR LIVES SERVING / THEIR COUNTRY / 

Stele: ERECTED BY THE PEOPLE / OF THIS COMMUNITY / IN HONOR OF THEIR / SONS AND DAUGHTERS / SERVING IN OUR / NATION'S ARMED FORCES / IN THE STRUGGLE FOR / FREEDOM AND JUSTICE / FOR ALL MANKIND / 1941-1945 /",3362,,"Bronze, granite","World War II, War, Armed Forces, eagle",,1947,,,4204,,Eldert Lane between Liberty Avenue and Glenmore Avenue,,Monument/Memorial,,,40.678232,NY
Brooklyn,Brooklyn,Bushwick War Memorial,,,,,Plinth,Memorial Gore,,1.0,N,,1920,N,,"1) THIS MEMORIAL / RECORDS THE / PATRIOTISM / AND DEVOTION / OF THE MEN OF / THE 13TH ASSEMBLY / DISTRICT WHO / SERVED THE / UNITED STATES/
IN THE WORLD / WAR / 1917-1918

2)/ [Honor Rolls]

3) Tablet:: "": DEC / 5 / 1920""",1046,,Marble,"World War I, War",,1920,,,2897,,Metropolitan Avenue between Humboldt Street and Bushwick Avenue,,Monument/Memorial,Williamsburg War Memorial,,40.714833,NY
Staten Island,Staten Island,Cespino-Russo Post Plaque,,,,,"Plaque, plinth",Franklin D. Roosevelt Boardwalk and Beach,,200.0,N,,1951,N,,IN MEMORY OF / THE MEN AND WOMEN / OF OUR COMMUNITY WHO SERVED / AND MADE THE SUPREME SACRIFICE / IN THE SERVICE OF OUR COUNTRY / DEDICATED BY / CESPINO-RUSSO POST 1544 / AMERICAN LEGION /,2847,,"Bronze, granite","War, Veterans",,1951,,,3525,,Sand Lane and Seaside Boulevard,,Monument/Memorial,,,40.590085,NY
Brooklyn,Brooklyn,Family Library Table,,,,,Ornamental gates,Cypress Hill Library,,33.0,N,Rolando,1995,N,,,5168,,"Epoxy enamel, painted steel, cast aluminum","Library, abstract",,1995,,Briseno,4247,,1197 Sutter Avenue,,Artwork,,,40.672583,NY
New York,Manhattan,Giuseppe Garibaldi,Henry Bonnard Bronze Company,"Lazzari & Barton Woodlawn, N.Y.",,,Statue,Washington Square Park,,1.0,N,Giovanni,1888,N,,IL II GIUGNO / MDCCCLXXXVIII / GLI ITALIANI / DEGLI STATI UNITI / D' AMERICA / ERESSERO,1425,,"Bronze, granite","Italian, Italy, General, Revolutionary, Soldier, Republican",,1888,,Turini,549,,Washington Square East,,Monument/Memorial,,,40.730583,NY
Elmhurst,Queens,Reverend Matthew J. Crosson,,U.S. Bronze Sign Company,,,Plaque,Crosson Park,,56.0,N,,1968,N,,"CROSSON MEMORIAL PARK / DEDICATED IN FOND REMEMBRANCE / AND APPRECIATION OF / THE REVEREND MATTHEW J. CROSSON / OF WOODSIDE (1908-1968) / BY FRIENDS AND ADMIRERS OF / HIS DEVOTION TO GOD, TO COUNTRY / AND TO HIS FELLOW MEN",3803,,Bronze,"Civic leader, Religious leader, Veteran, World War II, War",,1968,,,1308,,Woodside Avenue and 69th Street,,Monument/Memorial,,,40.743123,NY
New York,Manhattan,Benito Juarez,,,Enrique,,Statue,Bryant Park,,2.0,N,Moises,2004,N,,"Front pedestal: BENITO JUAREZ / 1806-1972 / PRESIDENT OF MEXICO (1858-1872) / BORN IN GUELATAO, OAXACA, OF HUMBLE ORIGINS. JUAREZ ESTABLISHED / THE FOUNDATION FOR THE MEXICAN REPUBLIC. IN 1867, HE DEFEATED / THE FRENCH INVASION, THUS PRESERVING THE INDEPENDENCE OF MEXICO. / GIFT FROM THE PEOPLE AND THE GOVERNMENT OF THE STATE OF OAXACA, MEXICO TO THE CITY OF NEW YORK.  On tablet: EL RESPETO AL / DERECHO AJENO / ES LA PAZ / RESPECT FOR THE / RIGHTS OF OTHERS / IS PEACE Proper right side of pedestal: BENEMERITO DE / LAS AMERICAS /",1843,,Bronze,"Mexican, President, Zapotec, Indigenous",,2002,,Cabrera Orozco,1257,,Sixth Avenue and 42nd Street,,Monument/Memorial,,,40.754414,NY
Corona,Queens,Flanders Field Flagstaff,,,,,"Flagstaff, plaque",Park of the Americas,,28.0,,,,,,DEDICATED / TO THE MEMORY OF THOSE / WHO MADE THE / SUPREME SACRIFICE / IN THE WORLD WAR 1917-1918 / BY / FLANDERS FIELD POST NO. 150 / VETERANS OF FOREIGN WARS /,1362,,"Bronze, granite","World War I, War, Veterans",,,,,1976,,41st Avenue and 103th Street,,Monument/Memorial,,,40.74879,NY
Brooklyn,Brooklyn,Mozart,"Bureau Brothers, Philadelphia",,,,"Bust, pedestal",Prospect Park,,1.0,N,Augustus,1897,N,,"Bust: A.M.J. MUELLER SCULPTOR PHILADELPHIA, 1897

Pedestal (front): MOZART / PRESENTED TO THE / CITY OF BROOKLYN / BY THE UNITED / GERMAN SINGERS / OF THE CITY / FIRST PRIZE AT THE 18TH / NATIONAL SAENGERFEST / HELD AT PHILADELPHIA / JUNE 23RD / 1897

Pedestal (rear): S.K. SAENGER / PRESIDENT / ARTHUR CLASSEN / CONDUCTOR""",5961,,"Bronze, granite","Austrian, Composer, Musician",,1897,,Mueller,1117,,Concert Grove,,Monument/Memorial,,,40.658785,NY
New York,Manhattan,Bayard Rustin,Causeway Contracting,,,,Plaque,Ralph Bunche Park,,23.0,N,,1990,N,,"BAYARD RUSTIN / MARCH 17, 1912 - AUGUST 24, 1987 / HUMAN RIGHTS LEADER / ""THE PRINCIPAL FACTORS WHICH INFLUENCED MY LIFE ARE: / NON-VIOLENT TACTICS: CONSTITUTIONAL MEANS; / DEMOCRATIC PROCEDURES; RESPECT FOR HUMAN PERSONALITY; / A BELIEF THAT ALL PEOPLE ARE ONE","2287, 2716",,"Bronze, granite","Civil Rights, African American, Black American, Black History, LGBTQ+, Labor",,1990,,,1335,,First Avenue and East 43rd Street,,Monument/Memorial,,,40.749059,NY
New York,Manhattan,Salvation Army Monument,,,,,"Stele, plaque",Battery Park,,1.0,N,,1952,N,,"TO THE GLORY OF GOD / UNDER THE DIRECTION OF / GENERAL WILLIAM BOOTH / THE FOUNDER OF THE SALVATION ARMY / COMMISSIONER GEORGE S. RAILTON AND SEVEN WOMEN / OFFICERS UNFURLED THE FLAG OF THE SALVATION ARMY / HERE ON MARCH 10, 1880 / --- / THIS TABLET IS PLACED BY / COMMANDER EVANGELINE BOOTH / NOVEMBER 14, 1927 / AS AN EXPRESSION OF ABOUNDING GRATITUDEON THE PART / OF MULTITUDES WHO HAVE REAPED THE FRUITAGE OF THAT / GRACIOUS INVASION /",1505,,"Bronze, granite",Philanthropist,,1952,,,3,,Greenwich Street and Battery Place,,Monument/Memorial,,,40.704688,NY
Brooklyn,Brooklyn,Dongan Oak Marker,"Bertelli Foundry, Brooklyn, NY (original ); Sculpture House Casting, NY, NY (replacement )",Alexander Ettl (original ); Alex J. Ettl (first replacement ),,,"Sculpture, plinth, stele, plaque",Prospect Park,,1.0,Y,Frederick,1922,N,Joseph,"Main plaque: SITE OF THE DONGAN OAK / AT THE BATTLE OF LONG ISLAND, / ON THE HILL TO THE NORTH OF THIS / SPOT, THE AMERICANS HAD A REDOUBT / WITH TWO GUNS, TO GUARD THE OLD / VALLEY GROVE ROAD, CALLED BY THE / EARLY SETTLERS THE ""PORTE"", MEANING / GATE-WAY THROUGH THE HILLS, AND WHICH / RAN IN FRONT OF THIS MONUMENT. BY / THAT ROAD STOOD A WHITE-OAK, MENTIONED / IN THE PATENT OF GOVERNOR DONGAN, / NOVEMBER 12, 1685, AS A MARKER BETWEEN / FLATBUST AND BROOKLYN. THIS TREE WAS / CUT DOWN AND THROWN ACROSS THE / ROAD, WITH THE DENSE WOODS ON THE / SOUTH AND SWAMPS ON THE NORTH, IT / MADE AN IMPORTANT OBSTRUCTION. / AMERICANS, COMMANDED BY GENERAL / SULLIVAN, VALIANTLY DEFENDED THIS POSITION / AGAINST THE HESSIAN GENERAL DE HEISTER, / UNTIL ATTACKED FROM THE REAR BY BRITISH / TROOPS, UNDER GENERAL CLINTON, THEN / THEY RETIRED IN GOOD ORDER, BRINGING / OFF THEIR ARTILLERY. / (ground plaque): THIS MONUMENT / DEDICATED ON / NOVEMBER 25, 1922 / WAS RESTORED BY / THE PROSPECT PARK ALLIANCE. /---/ ALEXANDER ETTL, / THE ORIGINAL CASTER / RECREATED F.W. RUCKSTULL'S / EAGLE AND PLAQUE. /---/ REDEDICATED / JUNE 6, 1991. /",1096,Petrovics,"Bronze, granite","American Revolutionary War, Colonial, War",,1922,,Ruckstull,1117,,Prospect Park Wildlife Center,,Marker,,,40.666181,NY
New York,Manhattan,Washington Heights-Inwood War Memorial,,,,,Statue,Mitchel Square,,65.0,N,Gertrude,1922,N,,ERECTED BY THE PEOPLE OF WASHINGTON HEIGHTS AND INWOOD IN COMMEMORATION OF THE MEN WHO GAVE THEIR LIVES IN THE WORLD WAR,1093,,"Bronze, granite","World War I, War, Veterans, Soldier",,1922,,Whitney,2124,,Broadway between 167th Street and 168th Street,,Monument/Memorial,,,40.840389,NY
Staten Island,Staten Island,Working in the Same Direction,,,,,Sculpture,Fire and Emergency Station,,252.0,N,Béatrice,2003,N,,,6257,,Stainless Steel,"Public Servants, Firefighters, Emergency medical services, Fire Station",,2003,,Coron,7067,,1100 Rossville Avenue,,Artwork,,,40.554096,NY
New York,Manhattan,William Shakespeare,Robert Wood & Co. foundry,,Jacob,,Statue,Central Park,,1.0,N,John,1872,N,,(On rear of base) ERECTED BY/CITIZENS OF NEW YORK / APRIL 23 1864 / THE THREE HUNDREDTH ANNIVERSARY / OF THE BIRTH OF / SHAKESPEARE,4983,,"Bronze, granite","Actor, British, Playwright, Theater, Author",Wray,1870,,Ward,1111,,Literary Mall,,Monument/Memorial,,,40.769815,NY
Bronx,Bronx,Adoption of the Constitution,,,,,Plaque,Van Cortlandt Park,,150.0,Y,,1937,N,,"TO COMMEMORATE / THE ADOPTION OF THE CONSTITUTION / OF THE UNITED STATES OF AMERICA / SEPT. 17, 1787 / THIS TREE WAS PLANTED ON THE / 150TH ANNIVERSARY / BY THE NATIONAL SOCIETY OF / COLONIAL DAMES / IN THE STATE OF NEW YORK / VAN CORTLANDT PARK - 1937",,,"Bronze, boulder","Constitution, Colonial, American Revolutionary War",,1937,,,5900,,Broadway and 259th Street,,Marker,,,"40.890985,",NY
Brooklyn,Brooklyn,Face to Face,,,,,Sculpture,New York City Police Department 73rd Precinct,,2.0,Y,Peter,1984,N,,,4263,,Stainless steel,Abstract,,1984,,Chinni,3497,,1470 East New York Avenue,,Artwork,,,40.670831,NY
Brooklyn,Brooklyn,Carroll Park Memorial,,,Gordon,,Stele,Carroll Park,,1.0,N,Eugene,1921,N,,"Side 1: THEY FACED THE PERILS / OF THE SEA AND THE / HIDDEN FOE / BENEATH THE / WAVES.

Side 2: THEY SOUGHT NO / GLORY BUT THEIR / COUNTRY'S GOOD / 

2 Honor Rolls entitled: DIED / IN THE / SERVICE OF / THEIR COUNTRY",989,,"Bronze, granite","World War I, War, Veterans",,1920,,Morahan,442,,Smith Street between Carroll and President Street,,Monument/Memorial,Soldiers and Sailors Monument,,40.681050,NY
Bronx,Bronx,Happy Land Memorial,,A. Ottavino Corp.,Steve,,Obelisk,Crotona Parkway Malls,,,Y,José,1995,N,,"IN MEMORY / OF THE / 87 MEN AND WOMEN / WHO LOST THEIR LIVES / IN THE / HAPPY LAND / SOCIAL CLUB FIRE / AT 1959 SOUTHERN BLVD. / WEST OF THIS SITE / ON MARCH 25, 1990 / DEDICATED 1995 / MAY THEY ALL BE HAPPY IN ETERNITY / ALTHOUGH WE CANNOT SEE THEM / FOREVER THEY WILL BE / A BEAUTIFUL PART OF OUR HEARTS' MEMORY / [87 NAMES]",2329,,Rose granite,,,1995,,Velasquez,,Dudley,"Southern Boulevard, East Tremont Avenue and Crotona Parkway",,Monument/Memorial,,Claire,40.842974,NY
Bronx,Bronx,Phillip Mazzei Flagstaff,,,,,"Flagstaff base, plaque",Mazzei Playground,,300.0,N,,1981,N,,"DEDICATED TO THE MEMORY OF / PHILIP MAZZEI / DIPLOMAT AND WRITER WHOSE WORDS / ""ALL MEN ARE CREATED EQUAL"" / WERE INTEGRATED INTO THE / DECLARATION OF INDEPENDENCE. / COLUMBUS ESCA ALLIANCE INC. / BRONX COUNTY / MAY 1981",,,"Steel, granite","Diplomat, Author, Italian, American Revolutionary War, Colonial, War",,1981,,,4444,,Mace Avenue and Williamsbridge Road,,Monument/Memorial,,,40.862485,NY
Flushing,Queens,Unisphere Tablets (4),,,,,Plaque,Flushing Meadows Corona Park,,1.0,N,,1964,N,,"UNISPHERE / DEDICATED TO MAN'S ASPIRATIONS TOWARD PEACE THROUGH MUTUAL UNDERSTANDING AND SYMBOLIZING HIS ACHIEVEMENTS IN AN EXPANDING UNIVERSE / BUILT AND PRESENTED BY / UNITED STATES STEEL CORPORATION / TO THE 1964-65 NEW YORK WORLD'S FAIR, APRIL 22, 1964 / MADE OF STAINLESS STEEL, THE UNISPHERE IS 140' HIGH, 120' IN DIAMETER AND WEIGHS 700,00 POUNDS",,,"Stainless steel, granite",1964-65 World's Fair,,1964,,,2018,,Unisphere,,Marker,,,40.746811,NY
Staten Island,Staten Island,Joseph H. Lyons Plaque,,,Aymar,,Plaque,Lyons Pool Recreation Center,,100.0,N,,1938,N,,"ERECTED / IN MEMORY OF / JOSEPH H. LYONS / BORN NOV. 13, 1891 --- DIED DEC. 12, 1934 / --- / A GALLANT SOLDIER / IN THE WORLD WAR / 1917-1918 / --- / A CIVIC MINDED CITIZEN / BELOVED BY ALL WHO KNEW HIM / PRO PATRIA /
DEDICATED BY / JAMES S. SLOSSON POST / AMERICAN LEGION / MAY 28, 1938 /",2133,,Bronze,"World War I, War",,1938,,,487,,6 Victory Boulevard,,Monument/Memorial,,,40.637658,NY
New York,Manhattan,Voice II,"Soapstone Studios, Brooklyn, NY","Soapstone Studios, Brooklyn, NY",,,Sculpture,West Harlem Piers,,92.0,N,Nari,2009,N,,,6482,,Stainless steel,"Abstract, African American, Black American, Black History, Mosaic",,2008,,Ward,2004,,Hudson River between 132nd Street and 133rd Street,,Artwork,,,40.819944,NY
New York,Manhattan,Victor Herbert,,,,,"Bust, pedestal",Central Park,,1.0,N,Edmond,1927,N,,VICTOR/HERBERT / 1859-1924,1398,,"Bronze, granite","Composer, Irish-American, Musician",,1927,,Quinn,1111,,"The Mall, opposite the bandstand",,Monument/Memorial,,,40.772692,NY
Bronx,Bronx,Beach and Sea Lion,,,Aymar,,Bas-relief roundel,Crotona Pool Bath House,,1.0,Y,Frederick,1936,N,,,177,,Stone,"Animals, WPA, Bathhouse",,1936,,Roth,2941,,173rd Street and Fulton Avenue,,Artwork,,,40.839942,NY
Bronx,Bronx,Joseph Rodman Drake,Tiffany Studio,,,,Monolith,Joseph Rodman Drake Park,,170.0,N,,1915,N,,"JOSEPH RODMAN DRAKE / 1795-1820 / GREEN BE THE TURF ABOVE THEE FRIEND OF / MY BETTER DAYS / NONE KNEW THEE BUT TO LOVE THEE / NORNAMED THEE BUT TO PRAISE / FITZ-GREENE HALLECK / ERECTED BY / THE BRONX SOCIETY OF ARTS AND SCIENCES / MAY 29, 1915",849,,"Bronze, marble","Author, Poet",,1915,,,2272,,Hunts Point Avenue and Oak Point Avenue,,Monument/Memorial,,,40.810255,NY
