o_orderkey,o_custkey,o_orderpriority,o_comment
25862,185,5-LOW," theodolites? carefully bold accounts sleep slyly bold, silent dependenci"
25863,1498,4-NOT SPECIFIED," bold, regular instructions wake blithely bold tithes. final accounts c"
25888,136,1-URGENT,onic accounts cajole quickly above 
25889,926,5-LOW, instructions wake carefully blithely eve
25890,286,2-HIGH,eep carefully fluffily ironic requests. furiousl
25891,208,1-URGENT,nst the regular grouches affix ar
25892,838,3-MEDIUM, even forges around the silent accounts are furiously u
25893,4,1-URGENT,uick requests. slyly special packages cajole. quickly regular deposi
25894,1021,3-MEDIUM,r the blithely pending sentiments boost quickly according to the 
25895,784,3-MEDIUM,nd the blithely unusual accounts detect permanently furio
25920,1265,1-URGENT,quickly quickly daring accounts-- final accounts according
25921,484,3-MEDIUM,lyly final requests use furiously. carefully unusual pearls cajole fluffil
25922,622,3-MEDIUM,arefully final excuses boost always asymptotes. quickly even
25923,1483,1-URGENT, special packages. fluffily
25924,1237,5-LOW,ecial deposits. blithely quiet instructions int
25925,787,1-URGENT," pending deposits of the regular, regular accou"
25926,1144,2-HIGH," final, silent instructions are blithely quickly regular foxes. pe"
25927,712,3-MEDIUM,y regular platelets boost
25952,1303,2-HIGH,"heodolites sleep furiously after the unusual, special accounts. bold deposits "
25953,712,1-URGENT,to the unusual packages. quickly ironic packages sleep quickly pendin
25954,340,3-MEDIUM,ymptotes. final depe
25955,137,4-NOT SPECIFIED,xpress dolphins hang blithely. depo
25956,1202,5-LOW,y special dependencies. ironic packages 
25957,715,2-HIGH,"riously regular pains detect after the unusual, si"
25958,155,4-NOT SPECIFIED,inal instructions. blithely ironic requests grow above the fin
25959,310,2-HIGH,lithely silent packages sleep above the even accounts. final ideas haggl
25984,107,5-LOW,nts are blithely after the fluffily express requests. blithely special 
25985,469,5-LOW,ke carefully alongside of the carefully i
25986,206,3-MEDIUM,"ites cajole blithely. regular, silent waters lose slyly."
25987,286,4-NOT SPECIFIED,ts haggle about the quickly final accounts. slyly final asymptote
25988,883,1-URGENT,ckly bold theodolites. daring deposits sleep carefully against
25989,311,1-URGENT,furiously regular accounts are 
25990,1357,4-NOT SPECIFIED,r foxes boost slyly after the furiously bold ideas. never even packages cajo
25991,619,1-URGENT,gular dolphins. blithely special deposits cajole. requests integrate ins
26016,214,2-HIGH,unusual packages nag carefully even ideas. carefully regular 
26017,215,2-HIGH,sts alongside of the slyly express packages haggle carefully accordin
26018,803,3-MEDIUM,osits are carefully. blithely iron
26019,1319,1-URGENT, dependencies nag. regula
26020,1469,5-LOW,hely final courts integrate carefully e
26021,850,1-URGENT,ly ironic requests. furiously unusual accounts above the slyly re
26022,745,3-MEDIUM,rts sleep deposits! theodolites use carefully ironic req
26023,1261,2-HIGH, even packages are quickly permanent packages. regular frays a
26048,251,5-LOW,"es. quickly ironic deposits wake sometimes against the express, pending d"
26049,937,2-HIGH," express pinto beans. unusual, special theodolites"
26050,187,2-HIGH,luffily close accounts ca
26051,178,4-NOT SPECIFIED,"according to the idle, blithe foxes are slyly acco"
26052,277,3-MEDIUM,the unusual theodolites. blithely regul
26053,853,5-LOW,quests play carefully quickly final dependencies. carefully fi
26054,841,1-URGENT,nt asymptotes wake. slyly express dependencies haggl
26055,610,4-NOT SPECIFIED,deas wake. express account
26080,601,1-URGENT,ic realms. foxes aff
26081,1142,2-HIGH, asymptotes use quickly carefully pending excuses. furiously pe
26082,788,5-LOW,usly among the blith
26083,962,1-URGENT,"ckages mold along the pending, regular deposits. quickly unusual ideas "
26084,1489,5-LOW,ts after the quickly regular accounts use furious
26085,326,3-MEDIUM,"ealthy, silent packages sleep after the fluffily special foxes. regular, f"
26086,377,5-LOW,blithely dependencies. blithely ev
26087,905,4-NOT SPECIFIED,beans cajole carefully ironic requests. final account
26112,1435,4-NOT SPECIFIED,s detect quickly alo
26113,160,5-LOW,ins sleep. blithely bold pinto beans haggle slyly care
26114,794,5-LOW,e special foxes boost regular accounts. always final requests kindle car
26115,128,4-NOT SPECIFIED,ely across the furiously final deposits: slyly pending pinto b
26116,674,1-URGENT,es. carefully unusual packages sleep furiously final foxes. quickly final as
26117,79,4-NOT SPECIFIED,haggle slyly across the c
26118,133,4-NOT SPECIFIED,across the bold platelets wake furiously final pinto beans; blithely iron
26119,671,3-MEDIUM,gle fluffily. accounts wake quickly carefully pending pinto beans. perma
26144,55,2-HIGH,fluffily regular accoun
26145,971,5-LOW, bold deposits. pending instructions must play quickly ironic ac
26146,320,5-LOW,al accounts. furiously silent foxes along th
26147,650,2-HIGH,ounts. packages after the slyly regular dolphins cajole silent
26148,1000,2-HIGH,refully along the furiously special requests. fluffily unusual instruct
26149,316,4-NOT SPECIFIED,out the furiously silent deposits cajole furiously express packages. final cou
26150,799,2-HIGH,"ove the silent, regular packages lose fluffily slyly pending pinto beans. pend"
26151,1288,4-NOT SPECIFIED,excuses solve across t
26176,571,2-HIGH,furiously unusual requests sleep across the busily unusual 
26177,1003,4-NOT SPECIFIED,slyly quickly final accounts. blithely
26178,1078,3-MEDIUM,", ironic theodolites doze steal"
26179,598,1-URGENT,express packages cajole slyly. theodolites was quickly
26180,511,3-MEDIUM, the dogged theodolites. blithely pending foxes serve along the b
26181,1456,4-NOT SPECIFIED,hins. blithely unusual
26182,28,4-NOT SPECIFIED,s integrate furiously requests. ideas use quickly regular dep
26183,1259,2-HIGH,quests eat blithely against the blithely final ideas. careful
26208,755,4-NOT SPECIFIED,ave to sleep furiously ironic instruc
26209,1015,1-URGENT,carefully regular requests. blithely bold dependencies along the bli
26210,1499,4-NOT SPECIFIED, deposits. final accounts b
26211,406,3-MEDIUM,g decoys solve above the blithely final instructions! blithely pending realms 
26212,196,5-LOW,special packages-- carefully regula
26213,604,2-HIGH,lithely bold request
26214,1138,3-MEDIUM,oxes. fluffily bold warhorses wake alongside of t
26215,619,4-NOT SPECIFIED,ughout the furiously final asymptotes. final
26240,61,1-URGENT," final, regular excuses cajole quickly. bold, final"
26241,13,4-NOT SPECIFIED,"express, even theodolites wake"
26242,532,3-MEDIUM,bout the quietly ironic dolphins may wake dependencies. fluffily even r
26243,16,5-LOW,lly express requests serve carefully about 
26244,422,2-HIGH,pecial requests cajole bl
26245,1165,3-MEDIUM,onic foxes. ironic accounts are furiously. ironic account
26246,1297,2-HIGH,sits are furiously blithe
26247,764,1-URGENT,sly regular packages are above the foxe
26272,727,5-LOW,ic packages integrate furiously alongside of the carefully even deposits.
26273,206,2-HIGH,slyly. slyly special pinto beans are carefully furiously iro
26274,247,4-NOT SPECIFIED,fully express frays can sleep slyly.
26275,1436,3-MEDIUM,usly unusual foxes about the even ideas affix ideas. always 
26276,719,5-LOW,he special packages
26277,602,3-MEDIUM,inst the regular excuses are blithely abo
26278,775,2-HIGH,"counts haggle slyly according to the ironic, regular ideas. regular atta"
26279,313,4-NOT SPECIFIED,wake carefully after t
26304,1124,3-MEDIUM,y fluffily slow accounts. 
26305,1387,3-MEDIUM,es above the express requests sl
26306,922,5-LOW,sts are quickly against the platelets. regular pinto beans integrate
26307,404,2-HIGH,uests about the blithely ironic accounts g
26308,409,4-NOT SPECIFIED,eposits try to cajole ironic requests. furiously even packages are furious
26309,1367,5-LOW,special ideas. regular foxes integrate c
26310,920,4-NOT SPECIFIED,tes haggle blithely after the silent requests. qu
26311,445,3-MEDIUM," to the pending accounts. even, ironic instructions are fluff"
26336,523,2-HIGH, silent packages alongside of the requests sleep
26337,109,1-URGENT,ouches should integrate among the even foxes. furiously special accounts w
26338,436,2-HIGH,ven dependencies wake sometimes after the carefu
26339,757,5-LOW, ironic theodolites cajole. slyly express requests cajole furio
26340,524,3-MEDIUM, nag about the blithely unusual packages. express ideas wake fluffily. packa
26341,1309,1-URGENT,pinto beans. even foxes detect furiously fi
26342,635,5-LOW,ironic deposits are until the permanently final packages. even
26343,671,3-MEDIUM,egular orbits sleep slyly pending theodolites. quickly pending pinto beans d
26368,1262,3-MEDIUM,nto beans. pending ideas ha
26369,1208,1-URGENT,e furiously pending sentiments. blithely regular packages after the furiously 
26370,359,4-NOT SPECIFIED,beans. carefully special dependencies according to the blithely silent
26371,992,2-HIGH,d asymptotes. caref
26372,565,5-LOW,ets. even requests sleep flu
26373,322,3-MEDIUM,. furiously regular accou
26374,1276,4-NOT SPECIFIED,he carefully sly depo
26375,1198,1-URGENT,xes. final notornis
26400,839,3-MEDIUM,detect slyly about the blithely
26401,868,3-MEDIUM, ironic excuses doze flu
26402,244,3-MEDIUM,ily ruthless accounts daz
26403,1360,5-LOW,"ts about the even, express asymptotes cajole along the blithely ir"
26404,1303,3-MEDIUM,lithely against the furiously unusual asymptotes. finally final ideas hag
26405,287,2-HIGH,ounts about the quickly idle grouches wake regularly ac
26406,569,4-NOT SPECIFIED,s; thin pinto beans detect. carefully even dependencies ca
26407,4,1-URGENT, regular deposits. slyly bold theodolites was furi
26432,1144,5-LOW,uriously special excuses. final excuses over the packag
26433,1177,3-MEDIUM,cies. carefully regular ideas detect furiously
26434,896,2-HIGH,riously even accounts. furiously re
26435,140,1-URGENT,bove the deposits-- accoun
26436,686,1-URGENT,l packages nag along
26437,328,1-URGENT,cuses nag furiously among the furiously iron
26438,506,1-URGENT,"onic, daring instructions"
26439,634,3-MEDIUM,bove the slyly silent excuses nag slyly about the bl
26464,958,2-HIGH,. slyly even deposits above the regular accounts
26465,382,2-HIGH,"ess requests boost ironic, even acc"
26466,1420,1-URGENT, pending accounts haggle after the blithely ironic
26467,1159,1-URGENT,"iously furiously regular packages. final, reg"
26468,998,5-LOW,ly pending packages cajole carefully regular deposits. reg
26469,298,3-MEDIUM,sts wake silent braids. regular ins
26470,445,2-HIGH,bold foxes wake slyly alongside of the fluffily regul
26471,298,2-HIGH,"egular, pending requests nag fluffily along the regular"
26496,479,5-LOW, furiously fluffy forges; furiously final foxes haggle. furi
26497,1484,3-MEDIUM,s platelets. bold accounts cajole furiously slyly pending excuses. furiously
26498,1277,5-LOW, accounts-- carefully regular requests wake. bol
26499,94,3-MEDIUM,pecial deposits haggle furio
26500,1048,4-NOT SPECIFIED,"gainst the furiously even ideas grow around the ironic, pending requests."
26501,536,5-LOW,cross the pinto beans cajole according to the 
26502,1391,3-MEDIUM,"g across the pending, final packages. bold platelets after"
26503,619,3-MEDIUM,"urts! regular, final pinto beans use blithely. spe"
26528,1217,4-NOT SPECIFIED,ithely regular deposits should cajole across the slyly ironic foxe
26529,1340,5-LOW,the slyly regular deposits sleep blithely regularly bold pack
26530,1288,4-NOT SPECIFIED,s sleep carefully quickly thin asymptotes. blithely unusual theodol
26531,553,3-MEDIUM,deposits sleep among the furiously final packages. blithely regular ideas
26532,1303,2-HIGH,accounts believe nea
26533,106,5-LOW, notornis haggle furiously furiously ironic pains.
26534,1282,1-URGENT,uickly final packages may hinder. closely express instructions cajole
26535,304,4-NOT SPECIFIED,n requests. carefully silent excuses cajole instru
26560,761,2-HIGH,ent ideas haggle carefully above the slyly regular 
26561,968,4-NOT SPECIFIED,ages wake slyly ironically silent theo
26562,1312,1-URGENT,al platelets snooze sile
26563,127,1-URGENT,yly according to the furiously ironic packages. carefully special deposit
26564,520,5-LOW,arefully furious asymptotes sleep carefu
26565,404,3-MEDIUM,d depths wake slyly accounts. slyly even req
26566,38,3-MEDIUM, closely final accounts. f
26567,1384,1-URGENT,le carefully quickly busy theodolites. evenly even pinto beans b
26592,634,5-LOW, of the carefully unusual fox
26593,1390,5-LOW,iously permanent ideas haggle quickl
26594,613,4-NOT SPECIFIED, the carefully ironic dolphins. ironic deposits are along
26595,1462,1-URGENT,lyly unusual accounts. carefully unusual deposits after 
26596,134,5-LOW,se fluffily fluffily unusu
26597,1459,2-HIGH,furiously. ironic platelets sleep around t
26598,361,5-LOW,"pending, express instructions sleep slyly ideas. silent, unusu"
26599,395,2-HIGH,ly ironic foxes. slyly ironic platelets nod carefully along the furiously sp
26624,797,2-HIGH,iously careful idea
26625,334,4-NOT SPECIFIED,y ironic deposits cajole furiously along the pinto bea
26626,1468,3-MEDIUM,ly bold asymptotes. i
26627,313,3-MEDIUM,p around the somas! requests affix idly
26628,1423,5-LOW, fluffily. quickly sil
26629,1273,2-HIGH,requests wake furiously ironic dependencies. requests wa
26630,382,2-HIGH,"oost ideas. final, even hockey "
26631,737,1-URGENT,"counts among the even, express asymptotes wake furiously carefully "
26656,1417,2-HIGH, pending requests a
26657,85,3-MEDIUM,totes wake furiously special deposit
26658,877,2-HIGH,ously ironic instructions. special Tiresias nag quickly. fin
26659,1279,3-MEDIUM,structions are express packages-- bold requests among the idl
26660,976,3-MEDIUM,"ong the ironic, special requests sleep c"
26661,1163,3-MEDIUM,even asymptotes. fi
26662,107,2-HIGH,"g, ironic requests use alongside of the furiously final platelets. blithe"
26663,800,1-URGENT,"requests. final platelets cajole slyly. special, even requ"
26688,955,3-MEDIUM,ons cajole around the furiously unusua
26689,407,2-HIGH,final accounts wake carefully. blithely express pinto beans around
26690,619,4-NOT SPECIFIED,ns. regular deposits poach carefully af
26691,970,4-NOT SPECIFIED,g deposits are furiously carefully unusual theodoli
26692,1304,4-NOT SPECIFIED,e furiously bold deposits. final instructio
26693,854,3-MEDIUM,g furiously. carefully regular pe
26694,643,3-MEDIUM,r ideas are quickly fluffily final accounts! carefully quiet orbits 
26695,1282,4-NOT SPECIFIED,ts are slyly above the furiously ironic packages. fluffily express ac
26720,1249,1-URGENT,sits. furiously express ideas integrate slyly. furiously regular packages
26721,826,3-MEDIUM,uickly against the quickly final
26722,4,3-MEDIUM,nt about the furiously regular accounts. blithely final requests sleep against
26723,568,5-LOW," frays cajole blithely above the bold, regular requests: furiously reg"
26724,1411,1-URGENT,ording to the carefully ironic fo
26725,1475,3-MEDIUM,hlessly final accounts solve slyly packages. furiou
26726,359,2-HIGH,sits according to the furiously ironic pinto bean
26727,944,4-NOT SPECIFIED, sleep blithely after the deposits. bold ideas above the slowly bo
26752,1312,3-MEDIUM,ously ironic ideas. quickly regular theodolites wake slyly even cour
26753,838,4-NOT SPECIFIED,iously express hockey players sleep quickly across
26754,880,3-MEDIUM,. ironic packages are idly bold t
26755,1240,1-URGENT,y. furiously regular requests are at the thinly special theodolites. ironi
26756,739,3-MEDIUM,the blithely ironic courts. carefully express packages was furiously 
26757,442,2-HIGH,unts nag slyly regular orbits. furiously pending asymptotes haggl
26758,767,4-NOT SPECIFIED,luffily express deposits. furiously regular accounts affix furiously after 
26759,41,4-NOT SPECIFIED,uriously regular accounts. requests doze blithely slyly 
26784,1094,1-URGENT,furiously furiously 
26785,10,5-LOW,requests-- ironic pinto beans nag accordin
26786,461,3-MEDIUM,ackages. even requests cajole bl
26787,232,2-HIGH, x-ray slyly bold requests. packages wake slyly. ironic r
26788,172,2-HIGH,lay. carefully sile
26789,983,3-MEDIUM,ess foxes. packages above the fur
26790,1121,2-HIGH,ackages. furiously express requests against 
26791,347,5-LOW,"its. ironic dolphins wake furiously quickly ironic asymptotes. even, unusual r"
26816,466,2-HIGH,accounts after the fluffily bold excuses cajole even deposits. slyly silent do
26817,770,2-HIGH,lar ideas haggle about the blithely reg
26818,1186,4-NOT SPECIFIED,e to integrate alongside of the quickly even ideas. theodolites across the u
26819,679,3-MEDIUM,furiously express deposits: 
26820,847,1-URGENT,he slyly even packages.
26821,1073,4-NOT SPECIFIED,uickly silent ideas are carefully evenly silent for
26822,998,1-URGENT, carefully ironic theodolites after the requests wake carefu
26823,155,5-LOW,ct blithely regular
26848,623,5-LOW,ctions according to the s
26849,844,2-HIGH,nic pinto beans affix furiously even pinto beans. c
26850,311,5-LOW,ular deposits cajole. pac
26851,181,2-HIGH,"ins. final, ironic theodolites alongside of the final requests boost "
26852,4,1-URGENT,lly beneath the decoys. final excuses must have to wake. ironic asymptote
26853,263,5-LOW,refully unusual theod
26854,433,4-NOT SPECIFIED," beans are unusual, special requests; final, ironic platelets cajole blit"
26855,352,2-HIGH,ructions affix fluffily-- sile
26880,1129,3-MEDIUM,tions! quickly pending foxes after the blithely regular requests nag at the 
26881,1123,5-LOW,"among the express, pending gifts; unusual orbits "
26882,853,4-NOT SPECIFIED,o the blithely pending excuses sleep bu
26883,1478,5-LOW,along the blithely silent packages. final dinos use care
26884,373,2-HIGH,regular deposits sleep. requests
26885,1288,3-MEDIUM,counts. dependencies integrate quickly around t
26886,1303,5-LOW,"s wake according to the ironic, regular foxes. ironic, "
26887,1057,1-URGENT,efully quickly final acc
26912,887,5-LOW,l pinto beans was across the
26913,1075,2-HIGH,uriously final packages maintain among the carefully ironic packages. sl
26914,916,4-NOT SPECIFIED, final sheaves are quickl
26915,1474,2-HIGH,"uriously pending dependencies boost fluffily even, regular packages. "
26916,349,1-URGENT,"e quickly. accounts alongside of the unusual, special"
26917,140,1-URGENT,inal deposits affix blithe
26918,560,5-LOW,ular accounts cajole. ideas cajole slyly. furiously careful pi
26919,1321,5-LOW,"ve. carefully bold ideas detect. silent, express packages de"
26944,1480,1-URGENT,"accounts cajole. silent, final packages integrate slyly bold requests. f"
26945,334,1-URGENT,ly about the stealthy excuses. even instructions print
26946,1291,4-NOT SPECIFIED,impress quickly caref
26947,224,2-HIGH,hely regular dolphins along the fluffily ironic reques
26948,280,2-HIGH, asymptotes. carefully exp
26949,1172,1-URGENT, special asymptotes haggle deposits. sly
26950,526,2-HIGH,s haggle never along the slyly even acco
26951,616,4-NOT SPECIFIED,ly final packages against the unusual ideas cajol
26976,457,4-NOT SPECIFIED,g the carefully final accounts. carefully ex
26977,316,2-HIGH,ost furiously instead of the ide
26978,976,3-MEDIUM, furiously ironic asy
26979,52,3-MEDIUM,s warhorses. pinto beans sleep slyly carefully ironic dependenc
26980,1408,1-URGENT,s haggle carefully furious pinto beans. furiously final courts ac
26981,739,3-MEDIUM,ions. fluffily final theodolites poach fluffily along the regular dinos. c
26982,61,4-NOT SPECIFIED,ggle bold requests. pi
26983,1240,5-LOW, blithely regular instructions. dogg
27008,1168,1-URGENT,dolites cajole alon
27009,1486,3-MEDIUM, wake. ironic instructions are express pearls. carefully un
27010,1309,3-MEDIUM, excuses. regular theodolites across the slyly ironic requests print qu
27011,1099,3-MEDIUM,al ideas haggle regular requests. furiously final asymptotes are careful
27012,1210,1-URGENT,ites wake quickly requests-- acco
27013,961,5-LOW,c theodolites sleep blithely. always final accounts wake blithely among th
27014,670,5-LOW,pinto beans up the packa
27015,110,5-LOW,carefully ironic accounts haggle? regular
27040,463,5-LOW,"ruthless, even instructions haggle under the blithely final acco"
27041,961,1-URGENT, unusual dolphins. slyly regular ideas after the even theodolites x-ray s
27042,982,3-MEDIUM," during the even, bold platelets. unusual theodolites wake blithely about the"
27043,1345,1-URGENT,lyly express requests impress furiously around the ironic excus
27044,1429,3-MEDIUM,ffily regular deposits. carefully ca
27045,889,4-NOT SPECIFIED,l instructions. blithely special platelets poach f
27046,397,5-LOW,"ide of the final packages wake quickly according to the sheaves. even, bold"
27047,446,2-HIGH,"al, even ideas use furiously furiously ironic deposi"
27072,682,3-MEDIUM,he express instructions integrate blithely after the forges. carefully even 
27073,1039,5-LOW,oost blithely according to the blithely regular request
27074,823,4-NOT SPECIFIED,e furiously regular deposits serve slyly ironic asymptotes. carefu
27075,1013,3-MEDIUM,lithely. unusual theodolites
27076,622,3-MEDIUM,blithely final theodolites was idly fluffily darin
27077,1033,1-URGENT,e carefully slyly ironic deposits. somas afte
27078,1090,4-NOT SPECIFIED, blithely ironic instructions cajole slyly. quickly ironic instructions w
27079,580,2-HIGH,ular packages integrate alongside of the blithely express asymptotes. furi
27104,256,3-MEDIUM,uriously: theodolites sleep
27105,379,4-NOT SPECIFIED, alongside of the s
27106,554,2-HIGH,"pending, regular instructions according to t"
27107,436,3-MEDIUM,carefully blithely special deposits. furio
27108,551,3-MEDIUM,eposits wake blithely deposits. slyly special ideas caj
27109,307,1-URGENT,sual foxes. blithely ironic accounts against the permanent dugouts 
27110,1069,5-LOW,gle furiously after the carefully pending packages. quickly ironic dec
27111,1114,2-HIGH,blithely unusual foxes should haggle: fluffily pending requests a
27136,865,3-MEDIUM,sts wake carefully acr
27137,542,2-HIGH, regular deposits. deposits in place of 
27138,1049,2-HIGH,ular deposits boost 
27139,902,5-LOW,he regular deposits. car
27140,743,2-HIGH,al requests unwind quietly quickly silent instructions? alw
27141,1225,4-NOT SPECIFIED,ckages was. furiously
27142,280,1-URGENT,foxes promise special ac
27143,973,1-URGENT,deposits. quickly ironic packages maintain regular requests. slyly final 
27168,1139,3-MEDIUM,final instructions sleep quickly fluffily express 
27169,476,4-NOT SPECIFIED,oost furiously regular theodolites.
27170,428,1-URGENT,ly ironic accounts integrate. slyly express pinto beans are sl
27171,673,2-HIGH,as around the slyly pending requests
27172,880,5-LOW,according to the silently bold packages are at the p
27173,1495,5-LOW,"g, busy packages. blithely final in"
27174,1408,1-URGENT,le against the bravely final theodolites. express d
27175,148,3-MEDIUM,"ets according to the regular, bold deposits haggle fluffily cour"
27200,10,3-MEDIUM,xes wake carefully sil
27201,1084,2-HIGH,y even packages about the quickly final accounts sleep 
27202,1252,4-NOT SPECIFIED, decoys integrate blithely across the pending accounts
27203,1322,3-MEDIUM,"ges sleep slyly. ironic, regular packages affix across the furiously bold id"
27204,142,2-HIGH,nst the furiously ironic foxes.
27205,107,4-NOT SPECIFIED,encies cajole furiously-- slyly
27206,1355,3-MEDIUM,"s haggle even, regula"
27207,16,1-URGENT,"ly. even, bold requests haggle slyly silent deposits. blithely even sheaves"
27232,334,4-NOT SPECIFIED,fully along the ironi
27233,271,5-LOW,"urious, special deposits. blithely bold asymptotes haggle ab"
27234,181,1-URGENT,y even requests. carefu
27235,1225,4-NOT SPECIFIED,asymptotes. carefully unus
27236,1063,2-HIGH,rly among the fluffily slow hockey players. regular
27237,418,4-NOT SPECIFIED,s. regular asymptotes cajole ironic depo
27238,301,5-LOW,"yly pending accounts. unusual, fluffy accounts boost dep"
27239,1480,2-HIGH,"ly ironic ideas? ironic, final foxes doze slyly regular accounts. quickly"
27264,1246,5-LOW,quests among the final packag
27265,1132,1-URGENT, final requests haggle blithely about the fluffily final theodolites-
27266,628,1-URGENT,ic deposits use around the special inst
27267,686,5-LOW,o beans. pending sheaves sleep furiously even foxes. slyly final pinto bean
27268,976,4-NOT SPECIFIED,lly final ideas serve furiously deposits. even requests nag. care
27269,988,3-MEDIUM,lithely after the furiously regular requests? asymptotes affix instructio
27270,610,5-LOW,"boost slyly. regular, regular ideas according to the slyly"
27271,1202,4-NOT SPECIFIED,"le carefully pending, regular theodoli"
27296,682,4-NOT SPECIFIED, cajole quickly carefully special packages. furiously b
27297,1468,4-NOT SPECIFIED, into the furiously silent accounts mold c
27298,1106,5-LOW,nal foxes against the blithely final dependen
27299,1255,1-URGENT,press requests wake furiously furiously even depo
27300,1273,4-NOT SPECIFIED,haggle furiously slyly express deposits. unus
27301,994,1-URGENT,"regular packages. final, bold requests wake slyly accou"
27302,697,5-LOW,ding dugouts sleep blithely about the furiously regular foxes
27303,706,3-MEDIUM,y unusual platelets. carefully ironic accounts sleep after the final p
27328,1378,4-NOT SPECIFIED,iously pending request
27329,319,3-MEDIUM,ly ironic pinto beans.
27330,307,5-LOW,"gular packages. furiously ironic accounts across the ironic, fin"
27331,1391,1-URGENT, accounts. carefully final instructions poach. carefully even accounts along
27332,109,1-URGENT,ideas about the reques
27333,1009,3-MEDIUM,ades. idly regular pinto beans cajole slyly silent packages. blith
27334,1097,1-URGENT,"latelets. express, special packages haggle final accounts! quickly final ins"
27335,1264,5-LOW,e requests. dependencies wake blithely; blithely even theodolites about the r
27360,593,1-URGENT,he furiously special requests. special theodolites s
27361,893,3-MEDIUM,"ests poach furiously ironic requests. silent, regular ideas after th"
27362,1300,2-HIGH,iously ironic accounts sleep never regular accounts. slyly final notornis al
27363,1036,3-MEDIUM,ongside of the quickly pending accounts. regula
27364,226,3-MEDIUM,s sleep above the regularly
27365,805,2-HIGH,usual packages kindle along the
27366,70,2-HIGH,"ld accounts sleep furiously bold, bold requests. even somas cajole fur"
27367,74,2-HIGH,lar packages promise furiously. stealthily final packages use a
27392,338,5-LOW, beans sleep never. silent deposits a
27393,1423,2-HIGH,ully express foxes. quiet orbits integrate blithely
27394,1084,5-LOW,posits. furiously even instructions maintain silently 
27395,16,4-NOT SPECIFIED,luffily bold pinto beans nag quickly across
27396,484,1-URGENT, beans are about the spe
27397,1190,4-NOT SPECIFIED,quests. blithely close foxes boost bli
27398,181,5-LOW,es. slyly regular packages are slyly even accounts. final foxes use blithe
27399,937,4-NOT SPECIFIED,"ses use slyly even, bo"
27424,986,2-HIGH,e furiously silent instru
27425,578,5-LOW,gle ironic foxes. furiously express ideas sleep ir
27426,212,5-LOW,s. furiously bold accounts a
27427,1201,2-HIGH,longside of the quickly final reque
27428,739,4-NOT SPECIFIED,the carefully final requests. slowly regular pinto beans wak
27429,1312,3-MEDIUM,"e quickly blithely bold packages. unusual, ironic asymptotes d"
27430,629,2-HIGH,sual asymptotes. slyly even dependencie
27431,832,3-MEDIUM,"usual deposits are fluffily against the unusual, ironic instructions. "
27456,514,4-NOT SPECIFIED, sleep carefully slyly ironic deposits. slyly silent p
27457,697,1-URGENT,s cajole ideas. unusual ideas along the blithely regular accou
27458,637,3-MEDIUM,kages sublate furiously across the carefully regular ideas: pinto beans h
27459,1013,4-NOT SPECIFIED,thely final platelets. unu
27460,1162,4-NOT SPECIFIED,e blithely. fluffily even requests haggle furiously slyly special 
27461,1306,1-URGENT,ct ironically carefully regula
27462,817,3-MEDIUM,totes cajole blithely. 
27463,1030,3-MEDIUM,nt patterns. regular deposits after the blithely fina
27488,1204,4-NOT SPECIFIED,special packages. furiously special asymptotes haggle furiously about the sly
27489,1012,3-MEDIUM,nstructions haggle quickly aft
27490,1238,4-NOT SPECIFIED,pendencies. carefully ironic deposits cajole furiously f
27491,508,4-NOT SPECIFIED,"ons use from the pending requests-- express, even requests sleep across t"
27492,166,1-URGENT, ironic pinto beans are blithely across the ideas. carefully final 
27493,520,5-LOW, regular pinto beans. pen
27494,1492,1-URGENT,lyly unusual deposits
27495,412,3-MEDIUM,excuses wake above the quietly final excuses. idly final theodolite
27520,115,3-MEDIUM,yly carefully regular deposits. 
27521,1321,5-LOW,e final frets. fluffily even deposi
27522,509,2-HIGH,eans x-ray carefully across the slyly final pl
27523,107,4-NOT SPECIFIED,"uctions sleep about the slyly ironic deposits. busy, regular accounts wake th"
27524,815,4-NOT SPECIFIED,"carefully across the carefully bold accounts. pending, pending deposits ab"
27525,331,4-NOT SPECIFIED,the carefully final pains. packages among the blithely final instructio
27526,806,1-URGENT, instructions cajole thinl
27527,1435,3-MEDIUM,ructions kindle alongside of the slyly even packages. quickly pendi
27552,1003,1-URGENT,low theodolites grow after the even packages. foxes 
27553,917,3-MEDIUM,ously regular packages after the accounts are furiously furiously regular asym
27554,1246,1-URGENT,gular accounts are abo
27555,1051,1-URGENT,ly regular ideas are above the carefully even requests. slyly e
27556,1243,5-LOW,ose ideas cajole unusual instructions. final
27557,190,5-LOW,kages are carefully furiously unusual packages. accounts ab
27558,886,4-NOT SPECIFIED, accounts. blithely expres
27559,505,2-HIGH, after the packages. carefully bold accounts across the carefully furiou
27584,749,5-LOW, fluffily above the slyly silent packages. qu
27585,1274,2-HIGH,y special pinto beans. slyly express accounts sl
27586,368,3-MEDIUM, silent requests sleep about the carefully special packages. q
27587,772,4-NOT SPECIFIED,ggle fluffily along the regular instructions. furiously even accounts engage
27588,565,3-MEDIUM,thely even notornis w
27589,280,3-MEDIUM,l platelets. carefully ironic acco
27590,670,4-NOT SPECIFIED,ly regular packages
27591,562,4-NOT SPECIFIED,"uickly express requests. special, regular ideas detect. req"
27616,1316,5-LOW, ironic instructions. blithely express in
27617,224,3-MEDIUM,nts are. slyly regular pin
